,course_name,course_code,prerequisites_text,antirequisites_text,corequisites_text,precorequisites_text,prerequisites_link,antirequisites_link,corequisites_link,precorequisites_link,description,location,extra_info,weight,category
830,DRAMA AS A CREATIVE MODE OF INQUIRY,CYS 3371F/G,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],"In this introductory course, students learn about the role of drama as a mode of creative inquiry, its connection to the changing image of ‘the child’, and the different methods and activities that can be used in working with children and youth across disciplines.",King's,3 seminar hours.,0.5,CYS
831,CHILD PARTICIPATION APPROACHES,CYS 3380F/G/Z,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],"Through field interventions, this course will examine various approaches to consulting children about issues affecting them, as well as ways of including the consultations in an organization’s planning and decision-making processes.",King's,3 hours.,0.5,CYS
832,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 3391A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
833,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 3392A/B,"[{'text': 'CYS 1025F/G', 'isLink': True}, {'text': 'or the former Childhood and Social Institutions 1025F/G.', 'isLink': False}]",[],[],[],['CYS 1025F/G'],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
834,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 3393A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
835,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 3394A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
836,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 3395A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
837,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 3396A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
838,INDEPENDENT STUDY,CYS 3398F/G,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],Reading and discussion of selected topics in Childhood and Youth Studies.,King's,3 lecture hours (reading course).,0.5,CYS
839,INDEPENDENT STUDY,CYS 3399F/G,"[{'text': 'Any course in Childhood and Youth Studies at the 2200-level.', 'isLink': False}]",[],[],[],[],[],[],[],Reading and discussion of selected topics in Childhood and Youth Studies.,King's,3 lecture hours (reading course).,0.5,CYS
840,EMERGING CHILDHOOD TOPICS I,CYS 4401F/G,"[{'text': 'One of', 'isLink': False}, {'text': 'CYS 3311F/G', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CYS 3312F/G', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'Childhood and Youth 3313F/G,', 'isLink': False}, {'text': ',', 'isLink': False}, {'text': 'CYS 3314F/G', 'isLink': True}, {'text': '.', 'isLink': False}]","[{'text': 'CYS 4403E', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],"['CYS 3311F/G', 'CYS 3314F/G', 'CYS 3312F/G']",['CYS 4403E'],[],[],"This course will examine emerging conceptual, methodological and empirical themes and topics in the continually and rapidly developing new social studies of childhood perspective. It will also facilitate the examination of the mutual contributions of related developments in other disciplines.",King's,3 hours.,0.5,CYS
841,EMERGING CHILDHOOD TOPICS II,CYS 4402F/G,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],"This course will examine emerging conceptual, methodological and empirical themes and topics in the continually and rapidly developing new social studies of childhood perspective. It will also facilitate the examination of the mutual contributions of related developments in other disciplines.",King's,3 hours.,0.5,CYS
842,SENIOR PROJECT IN CHILDHOOD AND YOUTH STUDIES,CYS 4403E,"[{'text': 'Admission by permission of the Chair of Childhood and Youth Studies, and completion of CYS 3311F/G, or 3312F/G, or 3313F/G, or 3314F/G.', 'isLink': False}]","[{'text': 'CYS 4401F/G', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],['CYS 4401F/G'],[],[],An independent research project in Childhood and Youth Studies under the direction of a faculty advisor.,King's,3 hours.,1.0,CYS
843,INDEPENDENT STUDY IN CHILDHOOD & YOUTH STUDIES,CYS 4410F/G,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Reading and discussion of selected topics in Childhood and Youth Studies.,King's,3 hours (reading course).,0.5,CYS
844,INQUIRIES OF PEDAGOGIES,CYS 4413F/G,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],An inquiry into the historical and contemporary conceptualizations and actualizations of pedagogy.,King's,3 seminar hours.,0.5,CYS
845,SITUATING CHILD-CENTRED PRACTICE,CYS 4414F/G,"[{'text': 'CYS 2214F/G', 'isLink': True}, {'text': 'or the former Childhood and Social Institutions 2214F/G.', 'isLink': False}]",[],[],[],['CYS 2214F/G'],[],[],[],"This course asks students to reflect upon what child centered practice is, where it has come from and how it is developing. Students will consider the potential of childhood studies theories to offer transformation in those spaces in which children experience their everyday lives.",King's,3 seminar hours,0.5,CYS
846,NORDIC COMPARATIVE SEMINAR,CYS 4420F/G/Z,"[{'text': 'Admission is by special permission of the Chair of Childhood and Youth Studies', 'isLink': False}]","[{'text': 'the former Childhood and Social Institutions 3395A/B if taken in 2015-16, 2016-17, or 2017-18.', 'isLink': False}]",[],[],[],[],[],[],"This is a limited-enrollment, international exchange seminar in with a travel component. It brings together students studying childhood and youth at Kings College and a University in a Nordic country (Sweden, Norway, Denmark, Finland, or Iceland). We compare childhood in these respective regions as it is situated in social institutions.",King's,3 seminar hours,0.5,CYS
847,BRITISH COMPARATIVE SEMINAR,CYS 4421F/G/Z,"[{'text': 'Admission is by special permission of the Chair of Childhood and Youth Studies', 'isLink': False}]","[{'text': 'the former Childhood and Social Institutions 3393A/B if taken in 2015-16 or 2018-19.', 'isLink': False}]",[],[],[],[],[],[],"This is a limited-enrollment, international exchange seminar in with a travel component. It brings together students studying childhood and youth at Kings College and a University in the United Kingdom. We compare childhood and youth in these respective regions as it is situated in social institutions.",King's,3 seminar hours,0.5,CYS
848,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 4491A,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
849,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 4492A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
850,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 4493A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
851,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 4494A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
852,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 4495A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
853,SPECIAL TOPICS IN CHILDHOOD AND YOUTH STUDIES,CYS 4496A/B,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Topic and course description will be available at time of registration.,King's,3 lecture/tutorial hours.,0.5,CYS
854,INDEPENDENT STUDY,CYS 4498F/G,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Reading and discussion in selected topics in Childhood and Youth Studies.,King's,3 hours (reading course).,0.5,CYS
855,INDEPENDENT STUDY,CYS 4499F/G,"[{'text': 'Any course in Childhood and Youth Studies at the 3300-level.', 'isLink': False}]",[],[],[],[],[],[],[],Reading and discussion in selected topics in Childhood and Youth Studies.,King's,3 hours (reading course).,0.5,CYS
856,BEGINNERS' CHINESE I,CHINESE 1150,"[{'text': 'Permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 1151', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CHINESE 1152A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CHINESE 1153A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'Grade 12U Chinese or equivalent.', 'isLink': False}]",[],[],[],"['CHINESE 1152A/B', 'CHINESE 1153A/B', 'CHINESE 1151']",[],[],"An introduction to oral and written standard Chinese for students with no previous knowledge of the language and no previous exposure to Chinese culture. Students will learn approximately 400 characters, 40 sentence structures, basic grammar, and will be able to write short passages and conduct brief, informal dialogues. The pinyin romanization system will be introduced. Prepares students for progression to Chinese 2250.",Huron,4 hours.,1.0,CHINESE
857,CHINESE I,CHINESE 1151,"[{'text': 'Permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 1150', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CHINESE 1152A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CHINESE 1153A/B', 'isLink': True}, {'text': '; Grade 12U Chinese or equivalent.', 'isLink': False}]",[],[],[],"['CHINESE 1150', 'CHINESE 1152A/B', 'CHINESE 1153A/B']",[],[],"An introduction to oral and written standard Chinese for students with no previous knowledge of the language. Students will learn approximately 400 characters, 40 sentence structures, basic grammar, and will be able to write short passages and conduct brief, informal dialogues. The pinyin romanization system will be introduced.",Huron,4 hours.,1.0,CHINESE
858,CHINESE I,CHINESE 1152A/B,"[{'text': 'Permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 1150', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CHINESE 1151', 'isLink': True}, {'text': '; Grade 12U Chinese or equivalent.', 'isLink': False}]",[],[],[],"['CHINESE 1150', 'CHINESE 1151']",[],[],"An introduction to oral and written standard Chinese for students with no previous knowledge of the language. In the sequence of Chinese 1152A/B and Chinese 1153A/B, students will learn approximately 400 characters, 40 sentence structures, basic grammar, and will be able to write short passages and conduct brief, informal dialogues. The pinyin romanization system will be introduced. Prepares students for progression to Chinese 1153A/B.",Huron,4 hours.,0.5,CHINESE
859,CHINESE I,CHINESE 1153A/B,"[{'text': 'CHINESE 1152A/B', 'isLink': True}, {'text': 'or permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 1150', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CHINESE 1151', 'isLink': True}, {'text': '; Grade 12U Chinese or equivalent.', 'isLink': False}]",[],[],['CHINESE 1152A/B'],"['CHINESE 1150', 'CHINESE 1151']",[],[],"An introduction to oral and written standard Chinese for students with no previous knowledge of the language. In the sequence of Chinese 1152A/B and Chinese 1153A/B, students will learn approximately 400 characters, 40 sentence structures, basic grammar, and will be able to write short passages and conduct brief, informal dialogues. The pinyin romanization system will be introduced.",Huron,4 hours.,0.5,CHINESE
860,PERSPECTIVES ON CHINA,CHINESE 1650F/G,[],[],[],[],[],[],[],[],"An examination of China as it emerges in the era of globalization. Contents include territory, people, society, language, science and technology, development and sustainability. Analysis of dominant and diverse realities will provide an essential basis for an appreciation of continuity and change in China. Students will learn how to access major sources of information and critically to evaluate perspectives and debates. Taught in English.",Huron,3 hours.,0.5,CHINESE
861,CHINESE SYMBOLS AND ICONS,CHINESE 1651F/G,[],[],[],[],[],[],[],[],"This course surveys traditional symbols and icons still prevalent in China's everyday life, ranging from ""yin-yang"", ""dragon"", ""mandarin ducks"" and ""the double-happiness"", to ""the three stars"", ""Lord Guan"" and ""Avalokitesvara"" (Guanyin). Treating these symbols and icons as image-signifiers, the course illustrates the socio-historical contexts that have shaped major symbolism in China. Students will gain a basic understanding of Chinese culture and develop skills in critical examination of cultural phenomena. Taught in English.",Huron,3 hours.,0.5,CHINESE
862,UNDERSTANDING CHINESE BUSINESS CULTURE 1,CHINESE 2240F/G,[],[],[],[],[],[],[],[],An intensive study of contemporary language and socio-cultural issues and topics involved in domestic and international businesses in China. Discussion of selected readings from print and internet resources will help the student to gain language and cultural skills crucial to understanding business interactions in China.,Huron,3 hours,0.5,CHINESE
863,UNDERSTANDING CHINESE BUSINESS CULTURE 2,CHINESE 2241F/G,[],[],[],[],[],[],[],[],An intensive study of spoken and non-verbal communication and practices in the cultural context of contemporary Chinese business. Discussion of real cases will help the student to develop an awareness of cultural nuances involved in doing business with the Chinese in China.,Huron,3 hours,0.5,CHINESE
864,REPRESENTATIVE WORKS IN TRADITIONAL CHINESE LITERATURE,CHINESE 2242F/G,[],[],[],[],[],[],[],[],"A survey of major works of prose by pre-modern Chinese writers. This course focuses on reading texts and analyzing their textual structure, aesthetic values, and historical contexts. Attention will also be paid to the evolution of the Chinese language from the Classical to the vernacular.",Huron,3 hours,0.5,CHINESE
865,THE CHINESE DIASPORA AND ITS LITERARY REPRESENTATION,CHINESE 2243F/G,[],[],[],[],[],[],[],[],"A study of Chinese literary works written by Chinese-Canadian writers. This course examines the Chinese diaspora in relation to social constructions of ethnicity, identity, community, gender and sexuality. It also looks into reflections on the relations of the diasporic community, the homeland and the host country.",Huron,3 hours,0.5,CHINESE
866,REPRESENTATIVE WORKS IN MODERN CHINESE LITERATURE,CHINESE 2244F/G,[],[],[],[],[],[],[],[],"A survey of major works of prose by modern Chinese writers. Selected works will be discussed in relation to the writers' ideas of political involvement, social change, revolution and the function of literature. Events that have shaped modern Chinese history and society will also be examined.",Huron,3 hours,0.5,CHINESE
867,CINEMA IN THE CHINESE MAINLAND,CHINESE 2245F/G,[],[],[],[],[],[],[],[],"This course examines representative films produced in major historical periods in the Chinese Mainland, with an emphasis on issues of nationalism and national identity, as well as cultural, social, and political changes occurred and are occurring in 20th century and contemporary China.",Huron,3 hours,0.5,CHINESE
868,CHINESE CINEMA IN TAIWAN & HONG KONG,CHINESE 2246F/G,[],[],[],[],[],[],[],[],"This course examines representative films produced in major historical periods in Taiwan and Hong Kong, with an emphasis on issues of nationalism and national identity, as well as cultural, social, and political changes occurred and are occurring in 20th century and contemporary Taiwan and Hong Kong.",Huron,3 hours,0.5,CHINESE
869,CHINESE CITIES & CHINESE CULTURE,CHINESE 2247F/G,[],[],[],[],[],[],[],[],"In an interdisciplinary approach, this course will examine major ancient and modern Chinese cities, with a focus on the city's form and function as an aesthetic symbol in Chinese culture, exploring the city's significant role in the making of China's cultural identity.",Huron,3 hours,0.5,CHINESE
870,THE ENVIRONMENT IN CHINESE LITERATURE AND FILM,CHINESE 2248F/G,[],"[{'text': 'CHINESE 2271F/G', 'isLink': True}, {'text': 'if taken in 2020-21, 2021-22, 2022-23.Extra information: 3 hours.', 'isLink': False}]",[],[],[],['CHINESE 2271F/G'],[],[],"This course explores the representation of nature and the environment in Chinese literature and film in the contemporary era of industrialization, modernization, and urbanization. The course focuses on the relationships that Chinese communities have with the environment and the influence of politics, ethnicity, gender, and class on such relationships.",Huron,,0.5,CHINESE
871,CHINESE SCIENCE FICTION,CHINESE 2249F/G,[],"[{'text': 'CHINESE 2270F/G', 'isLink': True}, {'text': 'if taken in 2022-2023.', 'isLink': False}]",[],[],[],['CHINESE 2270F/G'],[],[],"This course explores the genre of Chinese science fiction associated with representations of major themes in humanities, including modernity, nation-building, gender, technology, and other issues. The course looks at ways in which Chinese science fiction as a unique literary practice critically examines various aspects of modern China.",Huron,3 hours.,0.5,CHINESE
872,BEGINNERS' CHINESE 2,CHINESE 2250,"[{'text': 'CHINESE 1150', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'CHINESE 1151', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 2252A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CHINESE 2253A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],"['CHINESE 1150', 'CHINESE 1151']","['CHINESE 2252A/B', 'CHINESE 2253A/B']",[],[],"A course in standard Chinese and a continuation of Chinese 1150. Students will build on skills in reading, writing, and speaking developed in earlier courses. They will gain an increased vocabulary (approximately 1000 characters) and a greater understanding of more complex grammatical structures. The pinyin romanization system will be used.",Huron,4 hours.,1.0,CHINESE
873,CHINESE 2,CHINESE 2252A/B,"[{'text': 'CHINESE 1150', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'CHINESE 1151', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 2250', 'isLink': True}]",[],[],"['CHINESE 1150', 'CHINESE 1151']",['CHINESE 2250'],[],[],"An intermediate course in standard Chinese and a continuation of Chinese 1151. Students will build on skills in reading, writing, and speaking developed in earlier courses. Students will gain an increased vocabulary (approximately 1000 characters in Chinese 2252A/B and Chinese 2253A/B) and a greater understanding of more complex grammatical structures. The pinyin romanization system will be used. Prepares students for progression to Chinese 2253A/B.",Huron,4 hours.,0.5,CHINESE
874,CHINESE 2,CHINESE 2253A/B,"[{'text': 'CHINESE 2252A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 2250', 'isLink': True}]",[],[],['CHINESE 2252A/B'],['CHINESE 2250'],[],[],"An intermediate course in standard Chinese and a continuation of Chinese 2252A/B. Students will build on skills in reading, writing, and speaking developed in earlier courses. Students will gain an increased vocabulary (approximately 1000 characters in Chinese 2252A/B and Chinese 2253A/B) and a greater understanding of more complex grammatical structures. The pinyin romanization system will be used.",Huron,4 hours.,0.5,CHINESE
875,SPECIAL TOPICS,CHINESE 2270F/G,[],[],[],[],[],[],[],[],This course is intended for students who can read and write in Modern Standard Chinese and will include studies in Chinese language and culture.,Huron,3 hours,0.5,CHINESE
876,SPECIAL TOPICS,CHINESE 2271F/G,[],[],[],[],[],[],[],[],This course is intended for students who can read and write in Modern Standard Chinese and will include studies in Chinese language and culture.,Huron,3 hours,0.5,CHINESE
877,THE POLITICAL AND SCIO-ECONOMIC FOUNDATIONS OF MODERN CHINA,CHINESE 2601A/B,[],"[{'text': 'The former Centre of Global Studies 2202A/B.', 'isLink': False}]",[],[],[],[],[],[],"A survey of the social, political, and economic factors that shape modern China. Taught in English.",Huron,3 hours,0.5,CHINESE
878,THE CULTURAL FOUNDATIONS OF MODERN CHINA,CHINESE 2602A/B,[],[],[],[],[],[],[],[],"A survey of the artistic, philosophical, and religious factors that shape modern China. Taught in English.",Huron,3 hours.,0.5,CHINESE
879,FICTION AND TRADITIONAL CHINESE SOCIETY,CHINESE 2650F/G,[],[],[],[],[],[],[],[],"A study of the philosophical, cultural, and political aspects of traditional Chinese society through the reading of narrative texts, short stories, and novels. Literature of various genres and historical periods will be considered to illustrate the thought patterns, popular beliefs, and daily lives characteristic of traditional China. Taught in English.",Huron,3 hours.,0.5,CHINESE
880,FICTION AND MODERN CHINESE SOCIETY,CHINESE 2651F/G,[],[],[],[],[],[],[],[],"Designed to enhance the understanding of modern Chinese society, this course will consider works by major Chinese authors from the Republican and contemporary periods. Emphasis will be on the writers' ideas of political involvement, social change, revolution, and the functions of literature. Events that have shaped modern Chinese history and society, and the writers' responses to them, will also be examined. Taught in English.",Huron,3 hours.,0.5,CHINESE
881,CONCEPTS IN CHINESE CULTURE,CHINESE 2652F/G,[],"[{'text': 'CHINESE 3954F/G', 'isLink': True}, {'text': 'if taken in 2022-2023.', 'isLink': False}]",[],[],[],['CHINESE 3954F/G'],[],[],"This course introduces the student to Chinese culture through a diversity of material from some of the fields that make up Chinese Studies. This course introduces Chinese culture through discussions of a number of themes including Sinology, philosophy, religion, science, gender, food, politics, literature and mass media.",Huron,3 hours. Taught in English.,0.5,CHINESE
882,BUSINESS CHINESE I,CHINESE 3340A/B,[],[],[],[],[],[],[],[],"This course is intended for students who can read and write Modern Standard Chinese. Students will develop specific knowledge and skills in business communication in Chinese. Business etiquette and protocol will be discussed. Translation and competence in interpretation will be fostered by the study of business terms, documents, and practices.",Huron,4 hours,0.5,CHINESE
883,BUSINESS CHINESE 2,CHINESE 3341A/B,[],[],[],[],[],[],[],[],"This course is intended for students who can read and write Modern Standard Chinese. Students will study business terms, communication styles and formats, and acquire linguistic and cultural knowledge for conducting business in Chinese. Students will develop competence through practical experience in reading and writing market reports and analysing contracts.",Huron,4 hours,0.5,CHINESE
884,PROFICIENCY FOR HSK,CHINESE 3344A/B,[],[],[],[],[],[],[],[],"This course is designed for students who speak Cantonese or Fujianese and have a working knowledge of written Chinese. Student will improve their proficiency in: pronunciation, listening and reading comprehension, oral and written communication of Standard Chinese. Students who plan to take the HSK test (Chinese proficiency test) should enrol in this course.",Huron,4 hours.,0.5,CHINESE
885,IMPROVING COMMUNICATIVE SKILLS IN STANDARD CHINESE,CHINESE 3345A/B,[],[],[],[],[],[],[],[],This course is intended for students who can read and write Modern Standard Chinese. Students will improve their competence in understanding and using spoken and written Standard Chinese. Print and electronic resources including Chinese television broadcasts and the World Wide Web are used to develop comprehension and writing skills.,Huron,4 hours.,0.5,CHINESE
886,IMPROVING CHINESE PRONUNCIATION,CHINESE 3346A/B,"[{'text': 'CHINESE 3344A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of the department.', 'isLink': False}]",[],[],[],['CHINESE 3344A/B'],[],[],[],"This course is designed for students who speak a Chinese dialect and have an intermediate level of reading and writing proficiency. Students will improve their pronunciation through study of the Chinese phonetic system and practice of correct intonation, rhythm and accentuation.",Huron,4 hours,0.5,CHINESE
887,CHINESE 3,CHINESE 3350,"[{'text': 'CHINESE 2250', 'isLink': True}, {'text': 'or permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 3352A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'CHINESE 3353A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],['CHINESE 2250'],"['CHINESE 3353A/B', 'CHINESE 3352A/B']",[],[],"A third-level course in standard Chinese. Advanced conversation, written composition, listening and speaking skills, and translation techniques will be emphasized. Students will learn all the basic grammatical patterns and gain a larger vocabulary (approximately 1600 characters). Selections from newspapers and short essays will be incorporated.",Huron,4 hours.,1.0,CHINESE
888,CHINESE 3,CHINESE 3352A/B,"[{'text': 'CHINESE 2250', 'isLink': True}, {'text': 'or permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 3350', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],['CHINESE 2250'],['CHINESE 3350'],[],[],"A third-level course in standard Chinese. Advanced conversation, written composition, listening and speaking skills, and translation techniques will be emphasized. Students will learn all the basic grammatical patterns and gain a larger vocabulary (approximately 1500 characters in Chinese 3352A/B and Chinese 3353A/B). Prepare students for progression to Chinese 3353A/B.",Huron,4 hours.,0.5,CHINESE
889,CHINESE 3,CHINESE 3353A/B,"[{'text': 'CHINESE 3352A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of the department.', 'isLink': False}]","[{'text': 'CHINESE 3350', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],['CHINESE 3352A/B'],['CHINESE 3350'],[],[],"A third-level course in standard Chinese and a continuation of Chinese 3352A/B. Advanced conversation, written composition, listening and speaking skills, and translation techniques will be emphasized. Student will learn all the basic grammatical patterns and gain a larger vocabulary (approximately 1500 characters in Chinese 3352A/B and Chinese 3353A/B). Prepare students for progression to Chinese 4450.",Huron,4 hours.,0.5,CHINESE
890,SPECIAL TOPICS,CHINESE 3370F/G,[],[],[],[],[],[],[],[],This course is intended for students who can read and write in Modern Standard Chinese and will include studies in Chinese language and culture.,Huron,3 hours,0.5,CHINESE
891,SPECIAL TOPICS,CHINESE 3371F/G,[],[],[],[],[],[],[],[],This course is intended for students who can read and write in Modern Standard Chinese and will include studies in Chinese language and culture.,Huron,3 hours.,0.5,CHINESE
892,THE CHINESE SHORT STORY,CHINESE 3650F/G,"[{'text': '1.0 Essay course from Category A or B.', 'isLink': False}]",[],[],[],[],[],[],[],A survey of major developments in the history and art of the Chinese short story that examines selected works in classical and vernacular languages representing a variety of narrative forms. Taught in English.,Huron,3 hours.,0.5,CHINESE
893,THE CHINESE NOVEL,CHINESE 3651F/G,"[{'text': '1.0 Essay course from Category A or B.', 'isLink': False}]",[],[],[],[],[],[],[],"A study of the Chinese novel from the 16th to the 20th century that addresses the historical background, the social and cultural context, the aesthetic values, and achievements of individual authors. Taught in English.",Huron,3 hours.,0.5,CHINESE
894,CHINESE DISCOURSE ON WOMEN AND GENDER RELATIONS,CHINESE 3652F/G,"[{'text': '1.0 Essay course from Category A or B.', 'isLink': False}]",[],[],[],[],[],[],[],The course offers a close reading of male and female writings on women's roles and gender relations in Chinese society. It examines the various normative principles that describe and impose boundaries on women's political and social practices. Taught in English.,Huron,3 hours.,0.5,CHINESE
895,WOMEN IN CHINESE SOCIETY: IMAGES IN LITERATURE,CHINESE 3653F/G,"[{'text': '1.0 Essay course from Category A or B.', 'isLink': False}]",[],[],[],[],[],[],[],The course examines the roles of women in Chinese society reflected in literature. Texts of different genres and historical periods will be read to explore the changing images of women.,Huron,3 hours. Taught in English.,0.5,CHINESE
896,"TRAUMA, MEMORY & NARRATIVE IN CHINESE LITERATURE & FILM",CHINESE 3654F/G,"[{'text': '1.0 Essay course from Category A or B.', 'isLink': False}]",[],[],[],[],[],[],[],"This course surveys the representation of historical traumatic experience in modern and contemporary Chinese literature and film. By examining the portrayal of wartime atrocity, political violence and natural disaster in cultural texts, the course explores the role of popular conceptions and imaginations in the shaping and reshaping of Chinese national identity. Taught in English.",Huron,,0.5,CHINESE
897,CHINESE THEATRE & CULTURE,CHINESE 3655F/G,"[{'text': '1.0 Essay course from Category A or B.', 'isLink': False}]",[],[],[],[],[],[],[],"This course will offer an overview of traditional Chinese theatre from the 13th Century to the early 20th Century. Seeing traditional Chinese theatre as a form of popular entertainment developed across ages in its changing cultural contexts, this course will discuss a number of themes prevalent in Chinese theatre, with special attention to their economic and socio-political backgrounds, as well as their ideological implications. Literary and performing conventions of traditional Chinese theatre will also be examined. Taught in English.",Huron,,0.5,CHINESE
898,CHINESE LITERATURE AS WORLD LITERATURE,CHINESE 3656F/G,"[{'text': '1.0 Essay course from Category A or B.', 'isLink': False}]","[{'text': 'CHINESE 3951F/G', 'isLink': True}, {'text': 'if taken in 2021-22.', 'isLink': False}]",[],[],[],['CHINESE 3951F/G'],[],[],"This course approaches Chinese literature from comparative and global perspectives as an integral part of world literature. The course examines how Chinese literature travels outside China and is read, received, and appropriated through translation, adaptation, and international prizes.",Huron,3 hours. Taught in English.,0.5,CHINESE
