PHILOSOP 2254A/B|INTRODUCTION TO LOGIC|Philosophy 2250, Philosophy 2252W/X.||A study of sentential and predicate logic designed to train students to use procedures and systems (trees, natural deduction, axiomatic systems) for determining logical properties and relations, and to give students an understanding of syntactic and semantic meta-theoretical concepts and results relevant to those procedures and systems.|King's|3 hours.
PHILOSOP 2253A/B|INTRODUCTION TO DECISION ANALYSIS|||Modern approaches to the resolution of decisions in situations of uncertainty. Topics include: philosophical evaluation of principles of rationality, systematic ways of representing belief, learning, and values, with applications to elementary examples from social and institutional policy, econmic evaluation, medical diagnosis and therapy, and strategic thinking generally.|Western Main Campus,Huron|3 hours.
PHILOSOP 2252W/X|INTRODUCTION TO LOGIC (ACCELERATED)|Philosophy 2020, Philosophy 2250.|A minimum of 85% in any grade 12U Mathematics course or any 1020-level course in Applied Mathematics, Calculus, Computer Science, Mathematics, or Statistical Sciences, or permission of the Department.|A review of the techniques of logical analysis and evaluation coupled with a careful study of the formal syntax and semantics of sentential and predicate logic. Emphasis on the proof of important metatheoretic results.|Western Main Campus|4 hours.
PHILOSOP 2251F/G|CONCEPTUAL DEVELOPMENT OF MATHEMATICS|||A survey of some important basic concepts of mathematics in an historical setting, and in relation to the broader history of ideas. Topics may include: the evolution of the number concept, the development of geometry, Zeno's paradoxes.|Western Main Campus|3 hours.
PHILOSOP 2250|INTRODUCTION TO LOGIC|Philosophy 2020, Philosophy 2252W/X, Philosophy 2254A/B.||A study of sentential and predicate logic designed to train students to use procedures and systems (trees, natural deduction, axiomatic systems) for determining logical properties and relations, and to give students an understanding of syntactic and semantic metatheoretical concepts and results relevant to those procedures and systems.|Western Main Campus,Huron|3 hours.
PHILOSOP 2246F/G|PHILOSOPHY OF ENCOUNTER|||An examination of philosophical questions induced by encounter between radically different worldviews, paradigms, and ways of being. Particular, but not exclusive, attention is given to encounters between Indigenous and European frameworks. Topics include: identity and hybridity, theories of time, translation and borders, ways of knowing, language, stories, narratives, and world-making.|King's|3 lecture hours.
PHILOSOP 2245F/G|DATA SCIENCE ETHICS|||Students examine the ethical implications of data collection and its use. Issues include: data ownership and privacy, the impact of data-driven algorithms on society, the right to be “forgotten”, the limits of data and quantitative reasoning, the threat data collection possesses to democracy, individual freedoms, and rights.|King's|3 hours.
PHILOSOP 2244F/G|PLANETARY ETHICS AND SOCIAL TRANSFORMATION|||This course focuses on the ethical framework and commitment required to address fundamental socio-political problems and planetary change from diverse philosophical perspectives, including Ancient Chinese, Indigenous, Western and African systems. Special attention is paid to issues of racial capitalism, decoloniality, and cultural pluralism.|King's|3 hours.
PHILOSOP 2243F/G|ETHICS IN SCIENCE AND TECHNOLOGY|||Students critically examine special ethical problems and issues associated with science, scientific research, applied science, and technology. Topics include: the use of animals for research, the manipulation of nature and the human, the mechanization of the human world, are there environmental or socio-political limits to scientific research and technology?|King's|3 hours.
PHILOSOP 2242F/G|PHILOSOPHY OF THE EARTH|||This course considers contemporary environmental thought and how we understand the relation between humanity and the Earth. Topics include: climate change and justice, place and knowing, eco-affectivity and spirituality, and integral ecology. This course explores this question through world philosophical traditions including: East Asian Buddhist, Indigenous, and Western philosophy.|King's|3 hours.
PHILOSOP 2241F/G|COMPARATIVE PHILOSOPHY II||Philosophy 2240F/G.|This course explores central philosophical questions from a cross-cultural perspective. Students will learn about non-Western traditions and how they compare to the European tradition. Topics will include: the nature of the self, ethics, aesthetics, and metaphysical questions concerning the nature of life, our environment, and being.|King's|3 lecture hours.
PHILOSOP 2240F/G|COMPARATIVE PHILOSOPHY I|||This course explores central philosophical questions from a cross-cultural perspective. Students will learn about non-Western traditions and how they compare to the European tradition. Topics will include: the nature of the self, ethics, aesthetics, and metaphysical questions concerning the nature of life, our environment, and being.|King's|3 lecture hours.
PHILOSOP 2235F/G|THE REEL AND THE REAL: PHILOSOPHY OF FILM|||What makes film unique? How has film changed the way we think and feel? Can film change the world? We explore philosophical questions asked about film since its rise in the early 20th century, covering Marxist, psychoanalytic, semiotic and cognitivist thought and such thinkers as Benjamin, Eisenstein, Bazin, and Deleuze.|King's|3 hours.
PHILOSOP 2230F/G|PHILOSOPHY AND THE ARTS|||An intensive study of the interrelationships between philosophy and the arts. Students will study philosophical and critical texts as well as works of art ranging from literature to the visual arts. Subjects such as artistic expression, mimesis, creativity, symbolism, modernism, and art criticism will be explored.|Brescia|3 hours.
PHILOSOP 2227F/G|INTRODUCTION TO INDIGENOUS PHILOSOPHY|||An introduction to Indigenous thought. Topics include: Indigenous understandings of knowledge-keeping and -transmission, narratives, the importance of Land in Indigenous cultures, as well as Indigenous approaches to questions in metaphysics, aesthetics, ethics, and social and political philosophy, especially discourses surrounding colonisation, decolonisation, and rights. No previous knowledge of philosophy assumed.|King's|3 hours, 0.5 course.
PHILOSOP 2226F/G|INTRODUCTION TO JAPANESE PHILOSOPHY|||An introduction to the key concepts and issues in contemporary Japanese Thought and the influence of Buddhism and Shinto on Japanese philosophy. Students will investigate questions concerning the self, metaphysics, aesthetics, and ethics from the perspective of classical and contemporary Japanese thinkers. No previous knowledge of philosophy assumed.|King's|3 hours, 0.5 course.
PHILOSOP 2225F/G|INTRODUCTION TO CHINESE PHILOSOPHY|||This course introduces early Chinese traditions (Confucian, Mohist, Daoist, Legalist). By studying controversies within and among these traditions, we gain appreciation of their diversity and learn how traditions adapt over time through interacting and responding to shared challenges. We discuss implications for contemporary issues facing Chinese and Western societies.|King's|3 hours, 0.5 course.
PHILOSOP 2222E|ARISTOTELIAN LOGIC|Philosophy 2022.||A study of some of the central concepts in Aristotle's logic. Special emphasis is placed on deductive and inductive forms of reasoning, as well as argumentation materially considered, namely, demonstration, dialectics, rhetorical argumentation and poetic argumentation. In addition, a study of sophistical reasoning is made.|King's|3 hours.
PHILOSOP 2219E|CONTEMPORARY PHILOSOPHY|The former Philosophy 2019E.||Major movements and figures in the Continental and Anglo-American philosophy of the present day.|King's|3 hours.
PHILOSOP 2214|THOMISTIC PHILOSOPHY I|Philosophy 2014.||An introduction to the philosophy of Thomas Aquinas through textual analysis and discussion of a selection of his philosophical writings. The course will concern principally his philosophy of nature, philosophical psychology, moral philosophy, metaphysics and philosophical theology.|King's|3 hours.
PHILOSOP 2208E|INTRODUCTION TO SOCIAL AND POLITICAL THOUGHT|The former Philosophy 2204E.||An introduction to Social and Political Thought through a reading of some of the main figures in European traditions of social theory, political sociology, Marxism and Frankfurt School critical theory.|King's|3 hours.
PHILOSOP 2206W/X|MODERN AND CONTEMPORARY PHILOSOPHY|Philosophy 2202F/G.|Philosophy 2205W/X.|A survey of the great philosophers from the Renaissance, through Modern philosophy to contemporary Post-modern thought, focusing on the systematic unity of their thought, the influence of their ideas and their importance for us today. Themes include: the nature of reality, human existence, truth, God, political agency, and ethics.|King's|6 lecture hours.
PHILOSOP 2205W/X|ANCIENT AND MEDIEVAL PHILOSOPHY|Philosophy 2200F/G, Philosophy 2201F/G.||A survey of the great philosophers from the pre-Socratics to Aquinas; focusing on the systematic unity of their thought, the influence of their ideas and their importance for us today. Themes include: the nature of reality, human existence, truth, God, political agency, and ethics.|King's|6 lecture hours.
PHILOSOP 2203|HISTORY OF SCIENTIFIC THOUGHT|History of Science 2200E.||A general historical survey of ideas in the physical and biological sciences from antiquity to the early 20th century. This course will also examine issues in scientific methodology as well as the impact of scientific ideas on society.|Brescia,Huron,King's|3 hours.
PHILOSOP 2202F/G|EARLY MODERN PHILOSOPHY|||A critical examination of key works of selected figures of the 17th and 18th centuries.|Western Main Campus,Brescia,Huron|3 hours.
PHILOSOP 2201F/G|INTRODUCTION TO MEDIEVAL PHILOSOPHY||Philosophy 2200F/G.|A brief survey of some main problems in mediaeval philosophy. Emphasis will be placed on metaphysical and epistemological issues.|Huron|3 hours.
PHILOSOP 2200F/G|ANCIENT PHILOSOPHY|||A critical examination of key works of Greek philosophers with major emphasis on Plato and Aristotle.|Western Main Campus,Huron|3 hours.
PHILOSOP 2130A/B|INTRODUCTION TO EXISTENTIALISM|||An introduction to 19th and 20th century existentialism through a reading of philosophy and literature, with an emphasis on the concrete existence of the individual searching for a meaning to his or her life.|King's|3 hours.
PHILOSOP 2112F/G|CHINESE PHILOSOPHY|||The course surveys Confucianism, Buddhism, Taoism and Legalism. Students may also be introduced to Chinese Buddhism such as the Hua Yen or Zen Schools.|Huron|3 hours.
PHILOSOP 2111F/G|ASIAN PHILOSOPHY|||An introduction to the philosophy of areas such as India, Tibet, China and Japan. The first part of the course examines the metaphysics of Hinduism and Buddhism. The second part of the course focuses on Chinese moral philosophy and East Asian developments in Buddhism.|Huron|3 hours.
PHILOSOP 2092F/G|PHILOSOPHY AND POP CULTURE|||This course explores themes in logic, metaphysics, epistemology, ethics, and political philosophy as they arise in popular culture, including television, film, art, literature, games, and graphic novels, and considers philosophical questions pertaining to popular culture itself.|Western Main Campus|3 hours.
PHILOSOP 2091F/G|PHILOSOPHY IN LITERATURE|||An examination of the role played by philosophical ideas in 19th and 20th century literature and of some of the philosophical ideas underlying modern science fiction. Authors studied may include Dostoevsky, Tolstoy, Zamyatin, Poe, Hesse, Mann, Kafka, Huysmans, Unamuno, Sartre, Borges, Huxley, and Orwell.|Western Main Campus|3 hours.
PHILOSOP 2084A/B|THE MEANING OF LIFE|Philosophy 2666F/G.Extra information: 3.0 hours.||A philosophical exploration of interrelated questions: Why does the universe exist? Why do humans (in general) exist? Why do I exist? Ancient, scholastic and contemporary sources will be examined, including both theistic and atheistic stances as well as approaches that question the meaningfulness of these questions.|Brescia|
PHILOSOP 2083F/G|TERRORISM|||A study of contemporary philosophical discussions of terrorism, including different perspectives on the question of whether terrorism is morally justifiable. Related issues such as just war and civil disobedience will also be touched upon.|Western Main Campus|3.0 hours.
PHILOSOP 2082F/G|INTRODUCTION TO THE PHILOSOPHY OF FOOD|The former Philosophy 2010F/G, the former Philosophy 3010F/G.||A philosophical reflection on food and our current food system. Issues may include food and climate change, food justice, local and global hunger and food insecurity, the industrization of food and agriculture, the moral and political dimensions of genetically modified food, or the treatment of animals and lab cultured meat.|Western Main Campus|2 lecture hours, 2 tutorial hours, 0.5 course.
PHILOSOP 2080|PHILOSOPHY OF LAW|||A study of some main problems in legal philosophy. Emphasis is given to actual law, e.g. criminal law and contracts, as a background to questions of law's nature. Specimen topics: police powers in Canada, contractual obligation, insanity defence, judicial reasoning and discretion, civil liberties, legal responsibility, natural law and legal positivism.|Western Main Campus,King's|2 hours.
PHILOSOP 2079F/G|SPORTS ETHICS|||A study of moral issues in sports, including the relative fairness of performance enhancing drugs and techniques, cheating and deception, the role of violence in sports, sex testing and sex segregation in sports, disability and equality in sports, and the connection between sports and the good life. Antirequisite: Kinesiology 2292F/G.|Western Main Campus|3 hours
PHILOSOP 2078F/G|ETHICS FOR A DIGITAL WORLD|||Through social media, computer gaming, and virtual communities, we spend a considerable portion of our lives in the digital world. What moral considerations ought to guide our conduct as digital citizens? This class will consider the ethics of life online through a study of moral theory and ethical problems.|Western Main Campus|3 hours.
PHILOSOP 2077F/G|GENDER AND SEXUALITY|||An investigation of ways that contemporary philosophers deal with concepts of gender and sexuality, addressing such issues as the regulation and production of normative sexuality, the question of essentialism, the construction and disciplining of the gendered body, and the effects of new media on sexual identity.|Western Main Campus,Huron|3 hours.
PHILOSOP 2076F/G|PHILOSOPHY OF SEX, LOVE AND FRIENDSHIP|||An examination of some ancient and/or more recent views on love, friendship and the varieties of sexual expression. Topics may include philosophical problems raised by affection, selfless love and eros, celibacy, pornography, perversion, and the social roles and conventions of sexual identity.|Huron|3 hours.
PHILOSOP 2075F/G|BUSINESS ETHICS IN A GLOBAL CONTEXT|||The increasing globalization of business activity poses ethical problems arising from the conflicting ethical norms of different cultures. This course uses specific cases to consider a variety of such ethical challenges in pursuit of a critical understanding of ethical corporate decision-making in a global context.|King's|3 hours.
PHILOSOP 2074F/G|BUSINESS ETHICS|||Ethical analysis of issues arising in contemporary business life. Sample topics: ethical codes in business; fair and unfair competition, advertising and consumer needs and wants; responsibilities to investors, employees and society; conflicts of interest and obligation; business and the regulatory environment.|Western Main Campus,Brescia,Huron,King's|3 hours.
PHILOSOP 2073F/G|DEATH|||"The meaning and moral importance of death will be explored through a series of questions: What is death? Is death a bad thing? Do people survive death? What do we mean when we say that someone is ""dying""? Should knowledge of death change the way we live our lives?"|Western Main Campus|3 hours.
PHILOSOP 2070E|ETHICS AND SOCIETY|||Techniques of moral analysis and evaluation are studied in the context of practical moral issues concerning the good life, the rights of the individual and the quest for social justice, etc. Classical and contemporary philosophical sources are examined, but the emphasis is on independent critical thought.|Brescia|2 hours.
PHILOSOP 2065F/G|EVIL|||A study of philosophical approaches to evil from the Enlightenment to the present day. Topics include the existence of evil as a challenge to religious belief, understanding the nature of evil in the context of such events as the Holocaust and 9/11, and moral philosophical issues related to evil.|Western Main Campus|3.0 hours.
PHILOSOP 2063E|PHILOSOPHY OF RELIGION|Philosophy 2660E.||Philosophical problems relating to personal and institutionalized religion: religious experience and knowledge; the nature of faith; concepts of God; faith and reason; religion and morality. Independent critical thinking is stressed, and no particular religious views are presupposed.|Brescia|2 hours.
PHILOSOP 2062F/G|POWER, PRIVILEGE, AND OPPRESSION|Philosophy 2630F/G.||An examination of philosophical approaches to understanding relationships of power, privilege, and oppression. Material will include work in feminist philosophy, critical race theory, and/or postcolonial theory. There will be discussion of forms of oppression along the lines of gender, race, class, disability, and sexuality, with a focus on intersectional analyses.|Western Main Campus|3 hours.
PHILOSOP 2061F/G|SCIENCE VS. RELIGION: THE EPISTEMOLOGICAL CONFLICT|||This course studies the epistemological clash between religion and science, looking especially at evolutionary theory, cosmology, the physics of time, and miracles. It also studies attempts to reconcile these two systems of knowledge. Finally, it examines the science of religion: anthropological theories of religion and the cognitive science of religion.|Western Main Campus|3 hours.
PHILOSOP 2050F/G|THE SCIENTIFIC SEARCH FOR THE MIND|||An evaluation of sciences attempting to understand the nature of the mind and its place in the physical world. Topics may include: phrenology & localization theory, physiology, neuroanatomy, gestalt psychology, experimental psychology, evolutionary psychology, psychophysics, psychoanalysis, behaviorism, cognitive psychology, neuropsychology, intelligence testing and the nature of consciousness.|Western Main Campus|3 hours.
PHILOSOP 2044F/G|INTRODUCTION TO THE PHILOSOPHY OF PSYCHIATRY|||An introduction to core issues in the philosophy of psychiatry. Topics may include: a survey of historical and contemporary theories of the nature of mental disorder and its treatment; case studies designed to highlight controversies surrounding specific mental disorders, most notably, Depressive Disorders, Personality Disorders, Eating Disorders, and the Psychoses.|Western Main Campus|3 hours.
PHILOSOP 2037F/G|PHILOSOPHY AND ARTIFICIAL INTELLIGENCE|||Will robots take all our jobs? Will humans become cyborgs? Will nano-technology revolutionize medicine? As we rely more on machines, they are changing how we interact with the world and one another. In this course we will consider the impact of technology on our current lives, and on our future.|Western Main Campus|2 lecture hours, 1 tutorial hour.
PHILOSOP 2035F/G|NATURE, ECOLOGY AND THE FUTURE|||Our changing relationship to the natural world, and ability to affect Earth's future, bring urgent philosophical questions with real-world implications. This course draws on ideas from ethics, political philosophy, biology, psychology, economics and philosophy of science to explore the moral and epistemological dimensions of climate change, species extinction, and biotechnology.|Western Main Campus|3 hours.
PHILOSOP 2033A/B|INTRODUCTION TO ENVIRONMENTAL PHILOSOPHY|||An examination of several key issues arising out of the present environmental crisis. Sample topics include: to what extent the environmental crisis is a scientific, religious, or ethical problem; the Gaia hypothesis; deep and shallow ecology; the land ethic; ecofeminism; the environment and economics; and sustainable development.|Western Main Campus|3 hours.
PHILOSOP 2032F/G|EINSTEIN FOR EVERYONE|||Astronauts age more slowly. Time can have a beginning. Space and time are curved. All these surprising claims are consequences of Einstein's revolutionary theories of relativity. This course explains these and related ideas in historical context and explores their philosophical significance. No physics and only grade 11 mathematics required.|Western Main Campus|3 hours.
PHILOSOP 2026F/G|PHILOSOPHY OF ECONOMICS|||Economic life and economic science in philosophical perspective. Classical and contemporary philosophers are studied on such issues as property and labor; efficiency, fairness and freedom in the market; rationality, utility and economic value; welfare and economic justice. The emphasis is on probing underlying assumptions about the economic system.|Western Main Campus,Huron|3 hours.
PHILOSOP 2022|ARISTOTLEIAN LOGIC|Philosophy 2222E.||study of Aristotelian logic. Special emphasis is placed on word usage, definition, propositional form, and the different types of deductive and inductive arguments. An extensive study of fallacies in argumentation is made. The methodologies of the sciences, both non-experimental and experimental are examined and evaluated.|King's|2 hours.
PHILOSOP 2021A/B|OPPOSITIONS AND PARADOXES|||This course investigates the role played in philosophical and scientific thought by basic oppositions, such as Continuous vs. Discrete, One vs. Many, and Finite vs. Infinite, and analyzes many philosophical and scientific paradoxes: Zeno's paradoxes, the Liar Paradox, Russell's paradox, paradoxes of the infinite, and paradoxes arising from time travel.|Western Main Campus|3 hours.
PHILOSOP 2020|BASIC LOGIC|Philosophy 2250, Philosophy 2252W/X, Computer Science 2209A/B.||An introductory course in formal logic, which focuses on Modern Symbolic Logic, including derivations and trees in propositional and first-order predicate logic and tests for logical truth, equivalence, and consistency. This course may be used to satisfy the Honours Specialization in Philosophy logic requirement.|Western Main Campus|2 hours.
PHILOSOP 2014|THOMISTIC PHILOSOPHY|Philosophy 2214.||An introduction to the philosophy of Thomas Aquinas through a study of several of his basic philosophical writings. The course will concern principally his philosophy of nature, philosophical psychology, moral philosophy, metaphysics and philosophical theology.|King's|3 hours.
PHILOSOP 1901E|FOUNDATIONS IN THE NEW LIBERAL ARTS||Must be registered in the King's Foundations in the New Liberal Arts, or the former Western Thought and Civilization.Corequisite(s): English 1901E and History 1901E.|The Philosophy unit of the King's Foundations in the New Liberal Arts is an interdisciplinary historical survey of some of the most important philosophers (Plato, Aristotle, Descartes, Marx, Nietzsche, Derrida) and artists (da Vinci, Michelangelo, Rembrandt, Dali) that have shaped the course of Western thought and our contemporary world.|King's|3 hours. There may be additional costs associated with field trips.
PHILOSOP 1900E|CRITICAL THINKING FOR UNIVERSITY|||This course prepares students for university studies across the humanities and social sciences. Historical and theoretical models are considered in examining central issues and important thinkers. The course focuses on development of critical skills: close reading; creative thinking, and effective writing.|King's|3 hours.
PHILOSOP 1370A/B|FORM, THOUGHT, COMMUNICATION|||An introduction to the grammatical structures of two kinds of languages - the natural ones people learn as first languages, and the artificial ones that logicians and others have invented to help in reasoning. Topics will include: subject-predicate construction; word classes; complex sentences; negation and its complication; referring, describing, and quantifying; time and tense.|Huron|3 hours.
PHILOSOP 1363|CULTURE AND BEING HUMAN|||Students will examine what it means to be human through an examination of how language, art, religion, social media, and technology construct our sense of self and our relationships to each other and the world. Questions include: Is there a common human nature? Who am I beyond my cultural identity?|King's|3 hours.
PHILOSOP 1361E|FINDING HAPPINESS: A JOURNEY THROUGH PHILOSOPHY|||How do we find happiness in life? Is it through the fulfillment of desire, be it for pleasure, wealth, fame, companionship, knowledge, or union with God? Perhaps, paradoxically, it is by abandoning desire altogether and leading a simple life. This course will explore how philosophy has responded to these issues.|King's|3 hours.
PHILOSOP 1360E|THE GREAT HUMAN QUESTIONS WE ALL ASK|||An introduction to the great human questions we all ask: Who are we? Why are we? How can we live a good life? Why do we suffer, die, encounter evil? What are sex, love, and friendship? What can we know? What ought we to do? What may we hope for?|King's|3 hours.
PHILOSOP 1350F/G|INTRODUCTION TO PHILOSOPHY (REALITY AND WHAT WE CAN KNOW OF IT)|Philosophy 1100E, Philosophy 1300E.||A survey of selected philosophical problems in the areas of metaphysics and epistemology, with reference to works by both classical and contemporary philosophers. Specimen topics include the mind/body problem, the existence of God, skepticism and truth. Primarily for first year students.|Huron|3 hours.
PHILOSOP 1340F/G|PHILOSOPHY THROUGH FILM|||This course introduces students to philosophical inquiry through film. Certain films can be interpreted as attempting to answer our deepest questions. We will view films in order to explore the nature of truth, knowledge, time, self, evil, and life's meaning.|Brescia|3 hours.
PHILOSOP 1305F/G|QUESTIONS OF THE DAY|||This course develops students' ability to approach disputed questions by seeing them from both sides, so that they reach their own view only after respecting a broad range of argument. Six questions will be considered, including human (over) population, the public funding of art, and the limits of religious freedom.|Western Main Campus,Brescia,King's|3 hours.
PHILOSOP 1300E|INTRODUCTORY PHILOSOPHY|Philosophy 1100E||A survey of selected philosophical problems, with reference to both classical and contemporary philosophers. Specimen topics include: the mind/body problem, the existence of God, perception and matter, freedom and determinism. Primarily for first-year students.|Brescia,Huron,King's|3 hours
PHILOSOP 1250F/G|RIGHT AND WRONG|Philosophy 1100E, Philosophy 1300E.||A survey of selected philosophical problems in the areas of ethics and political/legal philosophy, with reference to works of both classical and contemporary philosophers. Specimen topics include ethical relativism, freedom and determinism, anarchy and government, and the justification of punishment. Primarily for first year students.|Huron|3 hours.
PHILOSOP 1230A/B|REASONING AND CRITICAL THINKING|||An introduction to the basic principles of reasoning and critical thinking designed to enhance the student's ability to evaluate various forms of reasoning found in everyday life as well as in academic disciplines. The course will deal with such topics as inductive and deductive reasoning, the nature and function of definitions, types of fallacies, the use and misuse of statistics, and the rudiments of logic. Primarily for first year students.|Western Main Campus,Brescia,Huron|2 lecture hours, 1 tutorial hour (Main); 3 lecture hours (Brescia, Huron).
PHILOSOP 1200|REASONING AND CRITICAL THINKING|||An introduction to basic principles of reasoning and critical thinking designed to enhance the student's ability to evaluate various forms of reasoning as found in everyday life as well as in academic disciplines. The course will deal with such topics as inductive and deductive reasoning, the nature and function of definitions, types of fallacies, the use and misuse of statistics, and the rudiments of logic. Primarily for first-year students.|Western Main Campus,Huron|2 lecture hours, 1 tutorial hour.
PHILOSOP 1170F/G|THE PHILOSOPHY OF ZEN|||The Buddha-Way lies at the heart of Zen. This course investigates the philosophical account of the non-self, world, ethics, politics, and environment rooted in this way of living. Students will read some of the classic works in the Zen tradition as well as contemporary philosophers working in that tradition.|King's|3 lecture hours.
PHILOSOP 1162F/G|SPECIAL TOPICS IN PHILOSOPHY|||This is a special topic in Philosophy course.|King's|3 lecture hours.
PHILOSOP 1160F/G|SPECIAL TOPICS IN PHILOSOPHY|||This is a special topic in Philosophy course.|King's|3 lecture hours.
PHILOSOP 1150E|INTRODUCTION TO THE WESTERN INTELLECTUAL TRADITION|||A multi-media and interdisciplinary historical survey of some of the most important philosophers (e.g. Socrates, Plato, Aristotle, Descartes, Marx, Nietzsche), writers (e.g. Homer, Dante, Goethe, Dostoevsky, Kafka), and artists (da Vinci, Michelangelo, Rembrandt, Dali) that have shaped the course of Western thought and our contemporary world.|King's|2 lecture hours, 1 tutorial hour, 1 screening hour.
PHILOSOP 1130F/G|BIG IDEAS|||"Apparently simple conceptions sometimes especially capture our imagination. Examples: Descartes's ""I think, therefore I am,"" McLuhan's ""the medium is the message,"" or Plato's theory of forms. The course examines a great number of these simple ideas that are also the Big Ideas that no educated person should be ignorant of."|Western Main Campus,Brescia|3 hours.
PHILOSOP 1120F/G|POWER, SOCIAL POLITICS, AND CULTURE|||An introduction to the key social, political, and legal structures and ideas that shape our contemporary culture and worlds. Students explore complex, often-hidden social and political concepts and organizational practices that prescribe modes of behaviour, human interactions, and material modes of production.|King's|3 lecture hours.
PHILOSOP 1100E|PHILOSOPHY FROM ANTIQUITY TO THE 20TH CENTURY|||A study of selected works by great philosophers from Socrates to the present. Stress will be laid on the systematic unity of the thought of individual philosophers, and on the influence their ideas had on their followers and on the thought of the present day.|Western Main Campus,Huron,King's|3 lecture hours.
PHILOSOP 1050F/G|"NON-WESTERN ""PHILOSOPHIES"""|||This course investigates non-European ways of thinking “philosophically.” Students will study African oral traditions, Central-Asian, Chinese, Japanese, and Indigenous traditions by looking at their approach to fundamental questions: what is the human being? What is nature and what is our relation to it? What is knowledge and what is happiness?|King's|3 hours.
PHILOSOP 1040F/G|ETHICS, LAW, AND POLITICS|||Many problems faced by individuals and societies lie at the intersection of ethics, law, and politics. This course will consider issues that can be analyzed along ethical, legal, and/or political lines, with a focus on understanding the differences between moral, legal, and political arguments and solutions to contemporary societal problems.|Western Main Campus|3 hours.
PHILOSOP 1030A/B|UNDERSTANDING SCIENCE: HOW SCIENCE RELATES TO THE NATURAL AND SOCIAL WORLD|||This non-essay course introduces conceptual issues about science: What distinguishes science from non-science? Are there limits to what science can or should explain? What does science tell us about reality? What is the relationship between science and religion? What is the role and value of science in a democratic society?|Western Main Campus|3 hours.
PHILOSOP 1022E|ADVANCED INTRODUCTION TO PHILOSOPHY|Philosophy 1000E, Philosophy 1020, Philosophy 1100E, Philosophy 1250F/G, Philosophy 1300E, Philosophy 1350F/G.||Questions about knowledge and reality, mind and body, morality and justice, truth and beauty,sex and gender, God's existence and attributes, and rationality and philosophical paradoxes are explored in this course designed for students with some acquaintance with philosophy who wish to further develop their analytic and expressive skills.|Western Main Campus|2 lecture hours, 1 tutorial hour.
PHILOSOP 1020|INTRODUCTION TO PHILOSOPHY|Philosophy 1000E, Philosophy 1022E, Philosophy 1100E, Philosophy 1250F/G, Philosophy 1300E, Philosophy 1350F/G.||What is real? Is knowledge possible? What do we owe to each other? This non-essay course examines attempts by historical and contemporary philosophers to argue in favour of answers to these and other, similar questions. A weekly tutorial hour will help students to develop skills of analysis, argument, and expression.|Western Main Campus|2 lecture hours, 1 tutorial hour.
PHILOSOP 1000E|INTRODUCTION TO PHILOSOPHY & CRITICAL THINKING|Philosophy 1100E, Philosophy 1200, Philosophy 1300E.|Registration restricted to Scholar's Elective students.|A survey of philosophical problems, with reference to both classical and contemporary philosophers. Topics include the mind/body problem, the existence of God, perception and matter, freedom and determinism. Basic principles of reasoning and critical thinking will be introduced to enhance the student's ability to evaluate the various forms of reasoning.|Brescia|3 lecture hours, 1 tutorial hour biweekly.
PHARM 4660A/B|HUMAN TOXICOLOGY||Pharmacology 3620 or permission of the Department.|A course dealing with the pharmacological and toxicological principles underlying the adverse effects of xenobiotics in humans. In addition to reviewing mechanisms of toxicity in humans, the course will include overviews of the principles of management of human poisoning, the principles of chronic toxicity and of drug safety in humans.|Western Main Campus|2 lecture hours.
PHARM 4620A/B|MOLECULAR AND STRUCTURAL BASIS OF DRUG ACTION||One of Biochemistry 3381A, Pharmacology 3620, or Physiology 3140A|Drugs are designed to act on protein targets such as receptors, channels, exchangers and enzymes. This course explores the structures of these major targets and discusses how drugs are designed to treat dysfunction of the associated cell signaling pathways.|Western Main Campus|2 lecture hours.
PHARM 4540A/B|FROM GENES TO THERAPIES:  TARGETED STRATEGIES IN MEDICINE||Physiology 3120; Physiology 3140A or Biology 3316A/B; Pharmacology 3620; or permission of the Department.|An examination of how mechanisms that regulate cell proliferation affect normal tissue repair and cause abnormalities, such as tumour formation and poor regeneration after injury. The course explores the basic molecular and cellular processes of relevant human disorders and the clinically useful pharmacological and regenerative medical therapies.|Western Main Campus|2.0 lecture hours.
PHARM 4430A/B|PHARMACOLOGY AND TOXICOLOGY OF NATURAL SOURCED MEDICINES||Pharmacology 3620 or permission of the Department.|Contemporary use of medicines derived from natural sources. Regulatory aspects of their use and the scientific basis for assessment of efficacy, quality, and safety of these products will be discussed. The mechanism(s) of beneficial and harmful effects of selected natural health products, including herb-drug interactions, will be included.|Western Main Campus|2 lecture hours per week, 1 tutorial hour.
PHARM 4380A/B|NEUROPHARMACOLOGY||Pharmacology 3620; Physiology 3140A; or permission of the Department.|This course will focus on the cellular and molecular mechanisms underlying the actions of drugs on the central and peripheral nervous systems. The focus will be on recent developments in the field of neuroscience and their impact on our understanding of the actions, and development of, new drugs.|Western Main Campus|2 lecture hours.
PHARM 4370A/B|THE PHARMACOLOGY OF DRUGS OF ABUSE||Pharmacology 3620 or Physiology 3140A.|This course will cover the pharmacological and pathophysiological effects of non-medicinal drug use including mechanisms of action, tolerance and addiction, long-term effects, side effects and toxicity, treatment of addictions and overdoses. Pharmacokinetics will also be examined including routes of administration, activation, deactivation, elimination, and drug-drug interactions.|Western Main Campus|Blended course. 3 hours (lecture or equivalent online delivery plus in-person discussion).
